chemical.id,conc,plate.id,well,endpoint,value
3757,0,19877,H01,MO24,0
3757,0,19877,H02,MO24,0
3757,0,19877,H03,MO24,0
3757,0,19877,H04,MO24,0
3757,0,19877,H05,MO24,0
3757,0,19877,H06,MO24,0
3757,0,19877,H07,MO24,0
3757,0,19877,H08,MO24,0
3757,0,19877,H09,MO24,0
3757,0,19877,H10,MO24,0
3757,0,19877,H11,MO24,0
3757,0,19877,H12,MO24,0
3757,0,19878,H01,MO24,0
3757,0,19878,H02,MO24,0
3757,0,19878,H03,MO24,0
3757,0,19878,H04,MO24,0
3757,0,19878,H05,MO24,0
3757,0,19878,H06,MO24,0
3757,0,19878,H07,MO24,0
3757,0,19878,H08,MO24,0
3757,0,19878,H09,MO24,0
3757,0,19878,H10,MO24,0
3757,0,19878,H11,MO24,0
3757,0,19878,H12,MO24,0
3757,0,19890,H01,MO24,0
3757,0,19890,H02,MO24,0
3757,0,19890,H03,MO24,0
3757,0,19890,H04,MO24,0
3757,0,19890,H05,MO24,0
3757,0,19890,H06,MO24,0
3757,0,19890,H07,MO24,0
3757,0,19890,H08,MO24,0
3757,0,19890,H09,MO24,0
3757,0,19890,H10,MO24,1
3757,0,19890,H11,MO24,1
3757,0,19890,H12,MO24,0
3757,2.65,19877,G01,MO24,0
3757,2.65,19877,G02,MO24,0
3757,2.65,19877,G03,MO24,0
3757,2.65,19877,G04,MO24,0
3757,2.65,19877,G05,MO24,0
3757,2.65,19877,G06,MO24,0
3757,2.65,19877,G07,MO24,0
3757,2.65,19877,G08,MO24,0
3757,2.65,19877,G09,MO24,0
3757,2.65,19877,G10,MO24,0
3757,2.65,19877,G11,MO24,0
3757,2.65,19877,G12,MO24,0
3757,2.65,19878,G01,MO24,0
3757,2.65,19878,G02,MO24,0
3757,2.65,19878,G03,MO24,0
3757,2.65,19878,G04,MO24,0
3757,2.65,19878,G05,MO24,0
3757,2.65,19878,G06,MO24,0
3757,2.65,19878,G07,MO24,0
3757,2.65,19878,G08,MO24,0
3757,2.65,19878,G09,MO24,0
3757,2.65,19878,G10,MO24,0
3757,2.65,19878,G11,MO24,0
3757,2.65,19878,G12,MO24,0
3757,2.65,19890,G01,MO24,0
3757,2.65,19890,G02,MO24,0
3757,2.65,19890,G03,MO24,0
3757,2.65,19890,G04,MO24,0
3757,2.65,19890,G05,MO24,0
3757,2.65,19890,G06,MO24,0
3757,2.65,19890,G07,MO24,0
3757,2.65,19890,G08,MO24,0
3757,2.65,19890,G09,MO24,0
3757,2.65,19890,G10,MO24,0
