Chemical ID	Concentration_uM	Endpoint	Measurement
12	0	Endpoint1	95.60475198
12	0	Endpoint1	98.49907714
12	0	Endpoint1	116.3220912
12	0	Endpoint1	89.5740797
12	10	Endpoint1	76.62077041
12	10	Endpoint1	84.62559323
12	10	Endpoint1	76.37920798
12	10	Endpoint1	76.32066895
12	50	Endpoint1	71.30880172
12	50	Endpoint1	68.30843138
12	50	Endpoint1	66.94213216
12	50	Endpoint1	67.97541165
12	200	Endpoint1	141.7112728
12	200	Endpoint1	109.2586591
12	200	Endpoint1	78.26393162
12	200	Endpoint1	74.04629936
12	400	Endpoint1	107.1944632
12	400	Endpoint1	111.777443
12	400	Endpoint1	134.9929789
12	400	Endpoint1	119.6170581
6	0	Endpoint1	95.60475198
6	0	Endpoint1	98.49907714
6	0	Endpoint1	116.3220912
6	0	Endpoint1	89.5740797
6	10	Endpoint1	97.33590695
6	10	Endpoint1	84.85312193
6	10	Endpoint1	69.92912933
6	10	Endpoint1	83.01694638
6	20	Endpoint1	60.29486023
6	20	Endpoint1	68.13324895
6	20	Endpoint1	49.87212233
6	20	Endpoint1	56.51244151
6	50	Endpoint1	173.5515625
6	50	Endpoint1	204.4564324
6	50	Endpoint1	194.5996526
6	50	Endpoint1	186.0924508
6	100	Endpoint1	252.4384207
6	100	Endpoint1	212.3376802
6	100	Endpoint1	257.3852281
6	100	Endpoint1	214.0170135
11	0	Endpoint1	95.60475198
11	0	Endpoint1	98.49907714
11	0	Endpoint1	116.3220912
11	0	Endpoint1	89.5740797
11	2	Endpoint1	124.6700995
11	2	Endpoint1	192.2321858
11	2	Endpoint1	199.7926486
11	2	Endpoint1	184.43266
11	10	Endpoint1	177.3296938
11	10	Endpoint1	252.4296724
11	10	Endpoint1	157.6102296
11	10	Endpoint1	152.4578245
11	50	Endpoint1	198.0355524
11	50	Endpoint1	236.4646879
11	50	Endpoint1	279.9649936
11	50	Endpoint1	241.569725
11	100	Endpoint1	312.104186
11	100	Endpoint1	221.5163264
11	100	Endpoint1	244.2258305
11	100	Endpoint1	279.6521924
13	0	Endpoint1	95.60475198
13	0	Endpoint1	98.49907714
13	0	Endpoint1	116.3220912
13	0	Endpoint1	89.5740797
13	4	Endpoint1	37.17751401
13	4	Endpoint1	63.72916539
13	4	Endpoint1	60.15230879
13	4	Endpoint1	79.36416678
13	10	Endpoint1	56.81394965
13	10	Endpoint1	31.95272515
13	10	Endpoint1	35.87035037
13	10	Endpoint1	50.34666713
13	50	Endpoint1	167.7650639
13	50	Endpoint1	150.4080648
13	50	Endpoint1	163.3287728
13	50	Endpoint1	179.5929133
13	100	Endpoint1	137.221404
13	100	Endpoint1	144.7002632
13	100	Endpoint1	98.48660224
13	100	Endpoint1	213.664588
15	0	Endpoint1	95.60475198
15	0	Endpoint1	98.49907714
15	0	Endpoint1	116.3220912
15	0	Endpoint1	89.5740797
15	2	Endpoint1	85.83197926
15	2	Endpoint1	75.53852532
15	2	Endpoint1	87.56393077
15	2	Endpoint1	114.4930131
15	10	Endpoint1	106.5766595
15	10	Endpoint1	127.17045
15	10	Endpoint1	122.464859
15	10	Endpoint1	125.3847201
15	25	Endpoint1	117.4974574
15	25	Endpoint1	117.3932444
15	25	Endpoint1	104.4624425
15	25	Endpoint1	91.52549827
15	50	Endpoint1	138.8481617
15	50	Endpoint1	104.6226511
15	50	Endpoint1	124.738858
15	50	Endpoint1	120.9496737
4	0	Endpoint1	106.6876743
4	0	Endpoint1	95.26031486
4	0	Endpoint1	107.9120222
4	0	Endpoint1	90.13998863
4	10	Endpoint1	185.2647605
4	10	Endpoint1	143.7873782
4	10	Endpoint1	129.3490955
4	10	Endpoint1	114.0349402
4	20	Endpoint1	126.9576153
4	20	Endpoint1	171.8880821
4	20	Endpoint1	180.8448472
4	20	Endpoint1	238.5376926
4	50	Endpoint1	169.0650606
4	50	Endpoint1	218.6353249
4	50	Endpoint1	107.1417115
4	50	Endpoint1	139.0256086
4	100	Endpoint1	179.5023019
4	100	Endpoint1	180.5666848
4	100	Endpoint1	240.7126557
4	100	Endpoint1	251.0405875
7	0	Endpoint1	106.6876743
7	0	Endpoint1	95.26031486
7	0	Endpoint1	107.9120222
7	0	Endpoint1	90.13998863
7	10	Endpoint1	120.8425083
7	10	Endpoint1	220.3983709
7	10	Endpoint1	197.8060069
7	10	Endpoint1	206.8559025
7	20	Endpoint1	186.9695721
7	20	Endpoint1	171.1498983
7	20	Endpoint1	266.640171
7	20	Endpoint1	236.4337978
