chemical.id	endpoint	concentration	response
DTXSID7020182	202992	0	0.0247
DTXSID7020182	202992	0	0.0004
DTXSID7020182	202992	0	0.0097
DTXSID7020182	202992	0.003	0.0157
DTXSID7020182	202992	0.003	0
DTXSID7020182	202992	0.003	0
DTXSID7020182	202992	0.007	0.04
DTXSID7020182	202992	0.007	0.0423
DTXSID7020182	202992	0.007	0
DTXSID7020182	202992	0.01	0.0606
DTXSID7020182	202992	0.01	0.0234
DTXSID7020182	202992	0.01	0
DTXSID7020182	202992	0.03	0.1037
DTXSID7020182	202992	0.03	0.0175
DTXSID7020182	202992	0.03	0
DTXSID7020182	202992	0.07	0.0097
DTXSID7020182	202992	0.07	0
DTXSID7020182	202992	0.1	0.0559
DTXSID7020182	202992	0.1	0.0111
DTXSID7020182	202992	0.1	0
DTXSID7020182	202992	0.3	0.0158
DTXSID7020182	202992	0.3	0
DTXSID7020182	202992	0.3	0
DTXSID7020182	202992	0.7	0.0165
DTXSID7020182	202992	0.7	0
DTXSID7020182	202992	0.7	0
DTXSID7020182	202992	2	0.0827
DTXSID7020182	202992	2	0.0271
DTXSID7020182	202992	2	0
DTXSID7020182	202992	4	0
DTXSID7020182	202992	4	0
DTXSID7020182	202992	4	0
DTXSID7020182	202992	8	0.0542
DTXSID7020182	202992	8	0
DTXSID7020182	202992	8	0
DTXSID7020182	202992	20	0.0697
DTXSID7020182	202992	20	0
DTXSID7020182	202992	20	0
DTXSID7020182	202992	40	0.5292
DTXSID7020182	202992	40	0.1713
DTXSID7020182	202992	40	0.0747
DTXSID7020182	202992	90	1
DTXSID7020182	202992	90	1
DTXSID7020182	202992	90	0.9322
Chemical2	Endpoint1	0	0
Chemical2	Endpoint1	0	0.01
Chemical2	Endpoint1	0	0
Chemical2	Endpoint1	0	0.01
Chemical2	Endpoint1	0	0
Chemical2	Endpoint1	2	0.02
Chemical2	Endpoint1	2	0.04
Chemical2	Endpoint1	2	0.05
Chemical2	Endpoint1	2	0.01
Chemical2	Endpoint1	2	0
Chemical2	Endpoint1	8	0.06
Chemical2	Endpoint1	8	0.12
Chemical2	Endpoint1	8	0.15
Chemical2	Endpoint1	8	0.18
Chemical2	Endpoint1	8	0.12
Chemical2	Endpoint1	10	0.28
Chemical2	Endpoint1	10	0.33
Chemical2	Endpoint1	10	0.23
Chemical2	Endpoint1	10	0.19
Chemical2	Endpoint1	10	0.40
Chemical2	Endpoint1	20	0.81
Chemical2	Endpoint1	20	0.66
Chemical2	Endpoint1	20	0.71
Chemical2	Endpoint1	20	0.54
Chemical2	Endpoint1	20	0.81
Chemical2	Endpoint1	40	0.99
Chemical2	Endpoint1	40	0.99
Chemical2	Endpoint1	40	0.98
Chemical2	Endpoint1	40	0.99
Chemical2	Endpoint1	40	0.66
Chemical2	Endpoint2	0	0
Chemical2	Endpoint2	2	0
Chemical2	Endpoint2	8	0.08
Chemical2	Endpoint2	10	0.06
Chemical2	Endpoint2	20	0.1
Chemical2	Endpoint2	40	0.15
Chemical3	DNC	0	0
Chemical3	DNC	1	0.1
Chemical3	DNC	2	0.2
Chemical3	Endpoint2	0	0
Chemical3	Endpoint2	1	0.1
